Date,Amount,Description,Type
2026-01-05,28000,Monthly Salary,income
2026-01-06,3500,Freelance - Logo Design,income
2026-01-07,-1200,Jollibee & Chowking,expense
2026-01-08,-350,Grab ride to office,expense
2026-01-10,-8500,Monthly rent,expense
2026-01-12,-980,Meralco bill,expense
2026-01-13,-450,Maynilad water bill,expense
2026-01-15,-650,Mercury Drug,expense
2026-01-16,-1800,SM Mall groceries,expense
2026-01-18,-500,Netflix + Spotify,expense
2026-01-20,-2200,Uniqlo sale,expense
2026-01-22,-300,FX commute weekly load,expense
2026-01-25,-750,Udemy course,expense
2026-01-28,-1100,Birthday dinner,expense
2026-01-30,-500,Load & misc,expense
2026-02-05,28000,Monthly Salary,income
2026-02-07,5000,Freelance - Web project,income
2026-02-08,-980,Mang Inasal & 7-Eleven,expense
2026-02-09,-420,Grab rides,expense
2026-02-10,-8500,Monthly rent,expense
2026-02-12,-1050,Meralco bill,expense
2026-02-13,-450,Maynilad water bill,expense
2026-02-14,-3200,Valentine's dinner,expense
2026-02-16,-1600,Robinsons groceries,expense
2026-02-18,-500,Netflix + Spotify,expense
2026-02-19,-800,Rose Pharmacy,expense
2026-02-21,-1500,H&M jacket,expense
2026-02-23,-300,FX commute weekly load,expense
2026-02-25,-2500,Weekend trip to Tagaytay,expense
2026-02-27,-400,Load & misc,expense
2026-03-05,28000,Monthly Salary,income
2026-03-06,2000,Freelance - Social media,income
2026-03-07,-850,Ministop & Shakeys,expense
2026-03-08,-380,Grab rides,expense
2026-03-10,-8500,Monthly rent,expense
2026-03-11,-1020,Meralco bill,expense
2026-03-12,-450,Maynilad water bill,expense
2026-03-13,-1750,Puregold groceries,expense
2026-03-15,-500,Netflix + Spotify,expense
2026-03-16,-1200,Watsons skincare,expense
2026-03-17,-300,FX commute weekly load,expense
2026-03-18,-600,Checkup at clinic,expense
2026-03-19,-950,Noche Buena groceries,expense
2026-03-20,-350,Load & misc,expense
